Topic,X,Y
robot_1,1.21,0.3
robot_1,1.21,0.3
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_0,-0.88,0.33
robot_1,1.21,0.3
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,5.1,-0.7
robot_0,-0.88,0.33
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_1,1.21,0.3
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,5.1,-0.7
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,5.1,-0.7
robot_1,6.52,1.47
robot_0,-0.88,0.33
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,-0.88,0.33
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,1.61,0.3
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,5.1,-0.7
robot_1,6.52,1.47
robot_1,6.52,1.47
robot_1,1.61,0.3
robot_0,-0.88,0.33
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,1.61,0.3
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,1.61,0.3
robot_0,-0.09,3.19
robot_1,1.21,0.3
robot_1,5.5,1.8
robot_1,5.1,-0.7
robot_1,6.52,1.47
robot_1,6.52,1.47
robot_1,1.61,0.3
robot_1,5.5,1.8
robot_1,7.42,-1.12
robot_0,-0.88,0.33
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,1.61,0.3
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,1.61,0.3
robot_0,-0.09,3.19
robot_0,-0.88,0.33
robot_0,1.78,4.11
robot_0,0.76,3.07
robot_0,1.61,0.3
robot_0,-0.09,3.19
robot_0,3.67,-0.37
