Topic,X,Y
robot_0,0.22,0.01
robot_1,3.35,-0.18
robot_0,0.22,0.01
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,0.22,0.01
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_1,3.35,-0.18
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.35,-0.18
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_0,0.22,0.01
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_1,3.35,-0.18
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,2.6,0.97
robot_0,4.2,1.9
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,2.6,0.97
robot_0,4.2,1.9
robot_0,2.6,0.97
robot_0,3.58,1.52
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_1,3.7,-0.5
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,2.6,0.97
robot_0,4.2,1.9
robot_0,2.6,0.97
robot_0,3.58,1.52
robot_0,2.6,0.97
robot_0,4.2,1.6
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,2.6,0.97
robot_0,4.2,1.9
robot_0,2.6,0.97
robot_0,3.58,1.52
robot_0,2.6,0.97
robot_0,4.2,1.6
robot_0,4.2,1.6
robot_0,3.94,1.68
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_1,3.7,-0.5
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_1,3.7,-0.5
robot_1,-1.19,0.36
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,2.6,0.97
robot_0,4.2,1.9
robot_0,2.6,0.97
robot_0,3.58,1.52
robot_0,2.6,0.97
robot_0,4.2,1.6
robot_0,4.2,1.6
robot_0,3.94,1.68
robot_0,4.2,1.6
robot_0,4.2,1.6
robot_0,0.22,0.01
robot_0,1.05,1.54
robot_0,2.09,1.3
robot_0,1.05,0.53
robot_0,1.05,1.54
robot_0,1.55,-0.05
robot_0,2.6,0.97
robot_0,2.6,0.97
robot_0,4.2,1.9
robot_0,2.6,0.97
robot_0,3.58,1.52
robot_0,2.6,0.97
robot_0,4.2,1.6
robot_0,4.2,1.6
robot_0,3.94,1.68
robot_0,4.2,1.6
robot_0,4.2,1.6
robot_0,4.2,1.6
robot_0,1.4,2.69
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,3.35,-0.18
robot_1,3.43,-0.29
robot_1,3.1,-0.5
robot_1,5.7,-0.3
robot_1,3.43,-0.29
robot_1,4.18,-0.15
robot_1,0.04,-0.21
robot_1,0.65,0.19
robot_1,-1.2,0.29
robot_1,3.35,-0.18
robot_1,3.43,-0.29
