Topic,X,Y
robot_1,1.07,0.75
robot_0,0.26,-0.04
robot_1,1.07,0.75
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.07,0.75
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_0,0.26,-0.04
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.26,-0.04
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_1,1.07,0.75
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_1,1.02,0.95
robot_0,0.26,-0.04
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_1,1.02,0.95
robot_1,0.97,0.76
robot_1,0.35,0.01
robot_0,0.26,-0.04
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,3.1,-0.57
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_1,1.02,0.95
robot_1,0.97,0.76
robot_1,0.35,0.01
robot_1,0.97,0.76
robot_1,0.97,1.08
robot_0,0.26,-0.04
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,3.1,-0.57
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,3.1,-0.57
robot_0,2.14,0.08
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_1,1.02,0.95
robot_1,0.97,0.76
robot_1,0.35,0.01
robot_1,0.97,0.76
robot_1,0.97,1.08
robot_1,1.07,0.75
robot_1,0.97,0.76
robot_1,1.02,0.95
robot_1,1.02,0.95
robot_1,0.97,0.76
robot_1,0.35,0.01
robot_1,0.97,0.76
robot_1,0.97,1.08
robot_1,4.51,-0.6
robot_0,0.26,-0.04
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,0.26,-0.04
robot_0,0.37,0.03
robot_0,0.23,0.18
robot_0,1.4,1.6
robot_0,3.1,-0.57
robot_0,0.26,-0.04
