Topic,X,Y
robot_0,0.98,0.38
robot_1,3.7,0.35
robot_0,0.98,0.38
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.98,0.38
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.98,0.38
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.61,0.35
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.61,0.35
robot_0,0.98,0.38
robot_0,0.84,0.37
robot_1,3.7,0.35
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.61,0.35
robot_0,0.98,0.38
robot_0,0.84,0.37
robot_0,0.84,0.37
robot_0,1.16,0.25
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.61,0.35
robot_0,0.98,0.38
robot_0,0.84,0.37
robot_0,0.84,0.37
robot_0,1.16,0.25
robot_0,0.84,0.37
robot_0,0.87,0.4
robot_1,3.7,0.35
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.56,0.86
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.61,0.35
robot_0,0.98,0.38
robot_0,0.84,0.37
robot_0,0.84,0.37
robot_0,1.16,0.25
robot_0,0.84,0.37
robot_0,0.87,0.4
robot_0,0.84,0.37
robot_0,1.44,0.64
robot_1,3.7,0.35
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.56,0.86
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.56,0.86
robot_1,3.51,0.96
robot_0,0.98,0.38
robot_0,1.02,0.27
robot_0,0.81,0.42
robot_0,0.61,0.35
robot_0,0.98,0.38
robot_0,0.84,0.37
robot_0,0.84,0.37
robot_0,1.16,0.25
robot_0,0.84,0.37
robot_0,0.87,0.4
robot_0,0.84,0.37
robot_0,1.44,0.64
robot_0,1.44,0.64
robot_0,1.14,0.45
robot_1,3.7,0.35
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.56,0.86
robot_1,3.7,0.35
robot_1,3.83,0.87
robot_1,3.56,0.86
robot_1,3.51,0.96
robot_1,3.7,0.35
