Topic,X,Y
robot_1,0.84,0.09
robot_0,2.56,1.09
robot_1,0.84,0.09
robot_1,0.84,0.09
robot_1,0.64,0.66
robot_0,2.56,1.09
robot_0,2.56,1.09
robot_0,-0.22,3.39
robot_1,0.84,0.09
robot_1,0.84,0.09
robot_1,0.64,0.66
robot_1,0.84,0.09
robot_1,0.64,0.66
robot_1,3.64,0.87
robot_0,2.56,1.09
robot_0,2.56,1.09
robot_0,-0.22,3.39
robot_0,2.56,1.09
robot_0,-0.22,3.39
robot_0,5.5,-0.4
robot_1,0.84,0.09
robot_1,0.84,0.09
robot_1,0.64,0.66
robot_1,0.84,0.09
robot_1,0.64,0.66
robot_1,3.64,0.87
robot_1,0.84,0.09
robot_1,0.64,0.66
robot_1,3.64,0.87
robot_1,6.6,2.05
