Topic,X,Y
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_0,2.2,-0.09
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_0,2.2,-0.09
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_0,2.2,-0.09
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_0,2.2,-0.09
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,-1.31,1.5
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_1,0.92,3.65
robot_0,2.2,-0.09
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,-1.31,1.5
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,-1.31,1.5
robot_0,0.7,0.1
robot_1,0.62,0.69
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_1,0.92,3.65
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_1,0.92,3.65
robot_1,-1.8,4.2
robot_0,2.2,-0.09
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,-1.31,1.5
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,-1.31,1.5
robot_0,0.7,0.1
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,-1.31,1.5
robot_0,0.7,0.1
robot_0,-1.72,-0.27
robot_1,0.62,0.69
robot_1,1.89,-0.43
robot_1,3.36,1.94
robot_1,0.96,0.23
robot_1,-1.1,2.25
robot_1,0.92,3.65
robot_1,-1.8,4.2
robot_1,-1.8,4.2
robot_1,-2.16,1.54
robot_0,2.2,-0.09
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.2,-0.09
robot_0,0.93,0.92
robot_0,2.0,0.9
robot_0,2.2,-0.09
