Topic,X,Y
robot_0,-0.67,1.08
robot_1,0.34,-1.08
robot_0,-0.67,1.08
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_1,0.34,-1.08
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_0,-0.67,1.08
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_1,0.34,-1.08
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.34,-1.08
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.49,0.65
robot_1,0.44,0.51
robot_0,-0.67,1.08
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,0.93,0.19
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.49,0.65
robot_1,0.44,0.51
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.49,0.65
robot_1,0.44,0.51
robot_1,-1.97,0.85
robot_0,-0.67,1.08
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,0.93,0.19
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,0.93,0.19
robot_0,1.21,-0.29
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.49,0.65
robot_1,0.44,0.51
robot_1,-1.97,0.85
robot_1,0.49,0.65
robot_1,-1.8,-1.2
robot_0,-0.67,1.08
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,0.93,0.19
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,0.93,0.19
robot_0,1.21,-0.29
robot_0,-0.67,1.08
robot_0,0.55,-0.93
robot_0,-1.23,2.38
robot_0,0.93,0.19
robot_0,1.21,-0.29
robot_0,0.64,0.68
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.49,0.65
robot_1,0.44,0.51
robot_1,-1.97,0.85
robot_1,0.49,0.65
robot_1,-1.8,-1.2
robot_1,0.34,-1.08
robot_1,0.49,0.65
robot_1,0.75,0.5
robot_1,0.44,0.61
robot_1,0.49,0.65
