Topic,X,Y
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_0,0.78,-0.86
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_0,0.78,-0.86
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_0,0.78,-0.86
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,0.78,-0.86
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_0,0.78,-0.86
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,3.1,0.15
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_0,4.0,-0.83
robot_0,2.9,-3.8
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,3.1,0.15
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,3.1,0.15
robot_1,6.4,-1.1
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_0,4.0,-0.83
robot_0,2.9,-3.8
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_0,4.0,-0.83
robot_0,2.9,-3.8
robot_0,5.96,-0.98
robot_1,1.08,0.35
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,3.1,0.15
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,3.1,0.15
robot_1,6.4,-1.1
robot_1,1.08,0.35
robot_1,0.92,0.52
robot_1,2.95,1.1
robot_1,1.15,0.07
robot_1,2.4,-2.6
robot_1,2.92,-1.86
robot_1,3.1,0.15
robot_1,6.4,-1.1
robot_1,0.5,1.4
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_0,4.0,-0.83
robot_0,2.9,-3.8
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_0,4.0,-0.83
robot_0,2.9,-3.8
robot_0,5.96,-0.98
robot_0,0.78,-0.86
robot_0,0.15,0.05
robot_0,-0.92,1.07
robot_0,2.96,0.64
robot_0,4.0,-0.83
robot_0,4.0,-0.83
robot_0,2.9,-3.8
robot_0,5.96,-0.98
robot_0,4.8,1.3
