Topic,X,Y
robot_1,1.26,0.34
robot_1,1.26,0.34
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.26,0.34
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_0,0.3,-1.8
robot_1,1.26,0.34
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_0,0.3,-1.8
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_1,1.26,0.34
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_0,0.3,-1.8
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_0,0.3,-1.8
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_0,2.51,-0.92
robot_0,-0.04,2.32
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,-0.8,-0.48
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_0,2.51,-0.92
robot_0,-0.04,2.32
robot_0,2.51,-0.92
robot_0,-0.12,2.3
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,-0.8,-0.48
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,-0.8,-0.48
robot_1,2.7,-3.5
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_0,2.51,-0.92
robot_0,-0.04,2.32
robot_0,2.51,-0.92
robot_0,-0.12,2.3
robot_0,2.51,-0.92
robot_0,-0.21,2.96
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_0,2.51,-0.92
robot_0,-0.04,2.32
robot_0,2.51,-0.92
robot_0,-0.12,2.3
robot_0,2.51,-0.92
robot_0,-0.21,2.96
robot_0,-0.04,2.32
robot_0,0.1,2.08
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,-0.8,-0.48
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,-0.8,-0.48
robot_1,2.7,-3.5
robot_1,1.26,0.34
robot_1,3.0,1.6
robot_1,1.66,0.25
robot_1,1.21,4.06
robot_1,1.4,4.71
robot_1,1.4,4.71
robot_1,1.55,-0.27
robot_1,1.26,0.34
robot_1,2.46,0.39
robot_1,-0.8,-0.48
robot_1,2.7,-3.5
robot_1,7.0,1.3
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_0,2.51,-0.92
robot_0,-0.04,2.32
robot_0,2.51,-0.92
robot_0,-0.12,2.3
robot_0,2.51,-0.92
robot_0,-0.21,2.96
robot_0,-0.04,2.32
robot_0,0.1,2.08
robot_0,0.1,2.08
robot_0,0.6,0.3
robot_0,0.3,-1.8
robot_0,0.66,-1.22
robot_0,-0.15,2.7
robot_0,2.51,-0.92
robot_0,2.51,-0.92
robot_0,-0.04,2.32
robot_0,2.51,-0.92
robot_0,-0.12,2.3
robot_0,2.51,-0.92
robot_0,-0.21,2.96
