Topic,X,Y
robot_1,0.88,0.56
robot_1,0.88,0.56
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_0,1.91,-2.62
robot_1,0.88,0.56
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.88,0.56
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.7,0.53
robot_0,1.91,-2.62
robot_0,1.91,-2.62
robot_0,2.18,-4.33
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.7,0.53
robot_1,1.41,0.07
robot_1,-1.3,0.95
robot_0,1.91,-2.62
robot_0,1.91,-2.62
robot_0,2.18,-4.33
robot_0,1.91,-2.62
robot_0,2.18,-4.33
robot_0,2.14,0.95
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.7,0.53
robot_1,1.41,0.07
robot_1,-1.3,0.95
robot_1,0.7,0.53
robot_1,0.6,0.8
robot_0,1.91,-2.62
robot_0,1.91,-2.62
robot_0,2.18,-4.33
robot_0,1.91,-2.62
robot_0,2.18,-4.33
robot_0,2.14,0.95
robot_0,1.91,-2.62
robot_0,2.18,-4.33
robot_0,2.14,0.95
robot_0,-1.91,-0.21
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.7,0.53
robot_1,1.41,0.07
robot_1,-1.3,0.95
robot_1,0.7,0.53
robot_1,0.6,0.8
robot_1,0.88,0.56
robot_1,0.8,2.6
robot_1,1.41,0.07
robot_1,0.48,0.44
robot_1,1.41,0.07
robot_1,0.89,0.56
robot_1,-0.16,-0.49
robot_1,0.7,0.53
robot_1,1.41,0.07
robot_1,-1.3,0.95
robot_1,0.7,0.53
robot_1,0.6,0.8
robot_1,-1.02,0.11
