Topic,X,Y
robot_1,1.37,0.47
robot_1,1.37,0.47
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,1.37,0.47
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_1,1.37,0.47
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,1.37,0.47
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_1,1.37,0.47
robot_1,2.55,-2.7
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,6.1,2.4
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_1,1.37,0.47
robot_1,2.55,-2.7
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_1,1.37,0.47
robot_1,2.55,-2.7
robot_1,4.1,-3.4
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,6.1,2.4
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,6.1,2.4
robot_0,-1.7,-0.0
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_1,1.37,0.47
robot_1,2.55,-2.7
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_1,1.37,0.47
robot_1,2.55,-2.7
robot_1,4.1,-3.4
robot_1,1.37,0.47
robot_1,1.34,0.3
robot_1,0.8,2.6
robot_1,0.48,0.72
robot_1,0.71,0.71
robot_1,0.71,0.71
robot_1,4.62,0.82
robot_1,1.37,0.47
robot_1,2.55,-2.7
robot_1,4.1,-3.4
robot_1,6.7,-1.69
robot_0,1.46,0.18
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,6.1,2.4
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,6.1,2.4
robot_0,-1.7,-0.0
robot_0,1.46,0.18
robot_0,1.06,4.29
robot_0,6.9,1.4
robot_0,3.86,2.22
robot_0,6.1,2.4
robot_0,-1.7,-0.0
robot_0,-1.8,0.0
