Topic,X,Y
robot_1,2.05,-0.34
robot_1,2.05,-0.34
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_0,2.05,-0.34
robot_1,2.05,-0.34
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_0,2.05,-0.34
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_1,2.05,-0.34
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_0,2.05,-0.34
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_1,2.05,-0.34
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.81,-0.28
robot_0,2.05,-0.34
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,5.54,-2.49
robot_1,2.05,-0.34
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.81,-0.28
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.81,-0.28
robot_1,-1.57,0.03
robot_0,2.05,-0.34
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,5.54,-2.49
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,5.54,-2.49
robot_0,6.8,2.3
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.81,-0.28
robot_1,-1.57,0.03
robot_1,-1.57,0.03
robot_1,4.43,-0.3
robot_0,2.05,-0.34
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,5.54,-2.49
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,5.54,-2.49
robot_0,6.8,2.3
robot_0,2.05,-0.34
robot_0,1.15,3.92
robot_0,4.57,-3.27
robot_0,5.54,-2.49
robot_0,6.8,2.3
robot_0,0.5,2.4
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.81,-0.28
robot_1,-1.57,0.03
robot_1,-1.57,0.03
robot_1,4.43,-0.3
robot_1,2.05,-0.34
robot_1,0.72,0.91
robot_1,3.6,-1.2
robot_1,2.98,-0.16
robot_1,2.81,-0.28
robot_1,-1.57,0.03
robot_1,-1.57,0.03
robot_1,4.43,-0.3
robot_1,8.1,0.0
