Topic,X,Y
robot_1,1.06,0.22
robot_1,1.06,0.22
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_0,0.01,0.65
robot_0,0.01,0.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_1,1.06,0.22
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_0,0.01,0.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_1,1.06,0.22
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,1.06,0.22
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_0,0.01,0.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_1,1.06,0.22
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_0,0.01,0.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,2.6,-2.6
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_0,0.01,0.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,2.6,-2.6
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,2.6,-2.6
robot_0,7.52,-2.41
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_1,1.06,0.22
robot_1,1.05,-3.95
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,2.6,-2.6
robot_0,7.52,-2.41
robot_0,7.52,-2.41
robot_0,0.2,0.3
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_1,1.06,0.22
robot_1,1.05,-3.95
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_1,1.06,0.22
robot_1,1.05,-3.95
robot_1,8.38,-4.42
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,2.6,-2.6
robot_0,7.52,-2.41
robot_0,7.52,-2.41
robot_0,0.2,0.3
robot_0,0.01,0.65
robot_0,1.9,1.65
robot_0,6.6,1.5
robot_0,1.49,4.75
robot_0,2.6,-2.6
robot_0,7.52,-2.41
robot_0,7.52,-2.41
robot_0,0.2,0.3
robot_0,-1.8,4.4
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_1,1.06,0.22
robot_1,1.05,-3.95
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_1,1.06,0.22
robot_1,1.05,-3.95
robot_1,8.38,-4.42
robot_1,1.06,0.22
robot_1,3.44,1.79
robot_1,4.7,0.7
robot_1,4.09,1.39
robot_1,6.99,2.14
robot_1,5.9,-0.6
robot_1,5.9,-0.6
robot_1,0.29,-0.03
robot_1,1.06,0.22
robot_1,1.05,-3.95
robot_1,8.38,-4.42
robot_1,9.15,-0.04
