Topic,X,Y
robot_0,0.9,2.98
robot_1,0.14,-0.63
robot_0,0.9,2.98
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_1,0.14,-0.63
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_0,0.9,2.98
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_1,0.14,-0.63
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,-1.7,-2.2
robot_1,0.14,-0.63
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,-1.7,-2.2
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,-1.7,-2.2
robot_1,-0.1,4.6
robot_0,0.9,2.98
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_0,2.2,0.88
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,-1.7,-2.2
robot_1,-0.1,4.6
robot_1,-0.1,4.6
robot_1,-3.4,-0.9
robot_0,0.9,2.98
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_0,2.2,0.88
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_0,2.2,0.88
robot_0,-0.1,0.7
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,-1.7,-2.2
robot_1,-0.1,4.6
robot_1,-0.1,4.6
robot_1,-3.4,-0.9
robot_1,0.14,-0.63
robot_1,-2.44,-1.53
robot_1,-1.7,-2.2
robot_1,-0.1,4.6
robot_1,-0.1,4.6
robot_1,-3.4,-0.9
robot_1,-3.1,-0.28
robot_0,0.9,2.98
robot_0,3.7,1.34
robot_0,-1.91,-0.59
robot_0,2.2,0.88
robot_0,-0.1,0.7
robot_0,-0.1,0.7
robot_0,-5.98,-0.64
