Topic,X,Y
robot_1,1.39,0.39
robot_0,3.45,1.8
robot_1,1.39,0.39
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_0,3.45,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,3.45,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_1,1.39,0.39
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_0,3.45,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,3.45,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_1,1.39,0.39
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_1,1.3,-2.7
robot_1,-0.31,-0.18
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_0,4.9,2.54
robot_0,1.95,0.15
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_1,1.3,-2.7
robot_1,-0.31,-0.18
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_1,1.3,-2.7
robot_1,-0.31,-0.18
robot_1,-1.0,6.7
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_0,4.9,2.54
robot_0,1.95,0.15
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_0,4.9,2.54
robot_0,1.95,0.15
robot_0,-0.2,-5.4
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_1,1.3,-2.7
robot_1,-0.31,-0.18
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_1,1.3,-2.7
robot_1,-0.31,-0.18
robot_1,-1.0,6.7
robot_1,1.39,0.39
robot_1,0.33,-0.02
robot_1,-0.9,3.5
robot_1,1.3,-2.7
robot_1,1.3,-2.7
robot_1,-0.31,-0.18
robot_1,-1.0,6.7
robot_1,-0.3,-5.4
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_0,4.9,2.54
robot_0,1.95,0.15
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_0,4.9,2.54
robot_0,1.95,0.15
robot_0,-0.2,-5.4
robot_0,3.45,1.8
robot_0,3.4,1.8
robot_0,3.45,-0.4
robot_0,5.4,-1.2
robot_0,4.9,2.54
robot_0,5.4,-0.5
robot_0,4.9,2.54
robot_0,5.77,-2.1
robot_0,4.9,2.54
robot_0,1.95,0.15
robot_0,-0.2,-5.4
robot_0,5.5,-6.4
