Topic,X,Y
robot_1,0.82,0.57
robot_0,3.8,2.0
robot_1,0.82,0.57
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,0.82,0.57
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_0,3.8,2.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_1,0.82,0.57
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_0,3.8,2.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,3.8,2.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_1,1.26,-2.09
robot_1,-0.2,-3.9
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_1,1.26,-2.09
robot_1,-0.2,-3.9
robot_1,0.2,-2.2
robot_1,0.28,-2.42
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_1,1.26,-2.09
robot_1,-0.2,-3.9
robot_1,0.2,-2.2
robot_1,0.28,-2.42
robot_1,0.28,-2.42
robot_1,0.25,-2.45
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,5.5,2.15
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_1,1.26,-2.09
robot_1,-0.2,-3.9
robot_1,0.2,-2.2
robot_1,0.28,-2.42
robot_1,0.28,-2.42
robot_1,0.25,-2.45
robot_1,0.28,-2.42
robot_1,0.26,-2.45
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,5.5,2.15
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,5.5,2.15
robot_0,5.3,1.99
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_1,1.26,-2.09
robot_1,-0.2,-3.9
robot_1,0.2,-2.2
robot_1,0.28,-2.42
robot_1,0.28,-2.42
robot_1,0.25,-2.45
robot_1,0.28,-2.42
robot_1,0.26,-2.45
robot_1,0.28,-2.42
robot_1,0.26,-2.44
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,5.5,2.15
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,5.5,2.15
robot_0,5.3,1.99
robot_0,3.8,2.0
robot_0,2.64,-0.59
robot_0,4.14,1.74
robot_0,2.63,0.67
robot_0,4.14,1.74
robot_0,3.17,0.34
robot_0,3.0,1.0
robot_0,3.77,1.1
robot_0,5.5,2.15
robot_0,5.3,1.99
robot_0,-1.61,0.37
robot_1,0.82,0.57
robot_1,1.4,1.3
robot_1,3.8,0.7
robot_1,0.08,0.21
robot_1,3.8,0.7
robot_1,0.2,-2.2
robot_1,1.26,-2.09
robot_1,1.26,-2.09
robot_1,1.84,-2.9
robot_1,1.26,-2.09
robot_1,-0.2,-3.9
robot_1,0.2,-2.2
robot_1,0.28,-2.42
robot_1,0.28,-2.42
robot_1,0.25,-2.45
robot_1,0.28,-2.42
robot_1,0.26,-2.45
robot_1,0.28,-2.42
robot_1,0.26,-2.44
robot_1,0.28,-2.42
robot_1,-1.59,0.29
robot_0,3.8,2.0
robot_0,2.64,-0.59
