Topic,X,Y
robot_1,3.6,1.9
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,0.85,0.46
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,0.85,0.46
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,0.85,0.46
robot_1,-0.36,0.82
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_0,5.6,1.0
robot_1,3.6,1.9
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,0.85,0.46
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,0.85,0.46
robot_1,-0.36,0.82
robot_1,3.6,1.9
robot_1,3.23,0.66
robot_1,2.64,0.33
robot_1,3.11,0.19
robot_1,3.11,0.19
robot_1,0.85,0.46
robot_1,-0.36,0.82
robot_1,0.85,0.46
robot_0,1.85,-0.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_0,5.6,1.0
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_0,5.6,1.0
robot_0,5.15,1.8
robot_0,1.85,-0.05
robot_0,3.47,-0.34
robot_0,5.6,0.35
robot_0,1.41,2.32
robot_0,5.6,1.05
robot_0,4.97,1.77
robot_0,5.6,1.0
robot_0,5.15,1.8
robot_0,4.97,1.77
robot_0,-0.36,0.53
