Topic,X,Y
robot_1,3.8,0.35
robot_0,3.7,1.9
robot_0,3.7,1.9
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_0,3.7,1.9
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_0,3.7,1.9
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_0,1.54,2.72
robot_0,-0.81,-0.57
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,-2.1,3.4
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_0,1.54,2.72
robot_0,-0.81,-0.57
robot_0,-0.81,-0.57
robot_0,1.42,4.04
robot_1,3.8,0.35
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,-2.1,3.4
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,-2.1,3.4
robot_1,-1.25,-2.4
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_0,1.54,2.72
robot_0,-0.81,-0.57
robot_0,-0.81,-0.57
robot_0,1.42,4.04
robot_0,-0.81,-0.57
robot_0,-0.86,-0.82
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,-2.1,3.4
robot_1,-1.25,-2.4
robot_1,-1.25,-2.4
robot_1,-3.0,-2.7
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_0,1.54,2.72
robot_0,-0.81,-0.57
robot_0,-0.81,-0.57
robot_0,1.42,4.04
robot_0,-0.81,-0.57
robot_0,-0.86,-0.82
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_0,1.54,2.72
robot_0,-0.81,-0.57
robot_0,-0.81,-0.57
robot_0,1.42,4.04
robot_0,-0.81,-0.57
robot_0,-0.86,-0.82
robot_0,-3.6,1.8
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,-2.1,3.4
robot_1,-1.25,-2.4
robot_1,-1.25,-2.4
robot_1,-3.0,-2.7
robot_1,3.8,0.35
robot_1,4.14,-0.9
robot_1,1.87,-1.54
robot_1,1.71,0.29
robot_1,1.25,0.31
robot_1,1.52,-0.1
robot_1,-2.1,3.4
robot_1,-1.25,-2.4
robot_1,-1.25,-2.4
robot_1,-3.0,-2.7
robot_1,-1.68,-2.56
robot_0,3.7,1.9
robot_0,4.18,0.29
robot_0,1.54,2.72
robot_0,1.99,3.79
robot_0,1.54,2.72
robot_0,-0.81,-0.57
robot_0,-0.81,-0.57
robot_0,1.42,4.04
robot_0,-0.81,-0.57
robot_0,-0.86,-0.82
robot_0,3.7,1.9
robot_0,4.18,0.29
