Topic,X,Y
robot_0,1.7,1.4
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_0,1.7,1.4
robot_0,1.7,1.4
robot_0,0.86,1.77
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_0,1.7,1.4
robot_0,1.7,1.4
robot_0,0.86,1.77
robot_0,1.7,1.4
robot_0,0.86,1.77
robot_0,2.42,-0.27
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,4.23,1.75
robot_0,1.7,1.4
robot_0,1.7,1.4
robot_0,0.86,1.77
robot_0,1.7,1.4
robot_0,0.86,1.77
robot_0,2.42,-0.27
robot_0,1.7,1.4
robot_0,0.86,1.77
robot_0,2.42,-0.27
robot_0,6.0,-2.01
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,4.23,1.75
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,4.23,1.75
robot_1,4.22,1.66
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,4.23,1.75
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,4.23,1.75
robot_1,4.22,1.66
robot_1,3.8,0.7
robot_1,2.79,1.04
robot_1,5.18,2.04
robot_1,4.23,1.75
robot_1,4.22,1.66
robot_1,4.72,1.98
robot_1,3.8,0.7
robot_1,3.8,0.7
robot_1,2.79,1.04
